2017-05-27 10:09:48.894 [main] WARN  com.ymt.operation.OperateAppium - 查找元素超时!!3秒之后还没找到元素 [By.id: com.ymatou.shop:id/tv_home_coupon_dialog_cancel]
2017-05-27 10:09:51.794 [main] INFO  com.ymt.traveler.Traveler - mainActivityString:.reconstract.MainActivity
2017-05-27 10:09:52.328 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:09:52.328 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:09:53.013 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:09:53.013 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:09:54.125 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:09:55.204 [main] INFO  com.ymt.traveler.Traveler - next action is : SWIP_DOWN
2017-05-27 10:09:55.204 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:SWIP_DOWN
2017-05-27 10:09:55.833 [main] INFO  com.ymt.operation.OperateAppium -  .reconstract.MainActivity : SWIP_DOWN ,duration 100
2017-05-27 10:09:57.787 [main] INFO  com.ymt.operation.OperateAppium - 开始传输------
2017-05-27 10:09:58.307 [main] INFO  com.ymt.operation.OperateAppium - 传输本地完成------
2017-05-27 10:09:58.307 [main] INFO  com.ymt.operation.OperateAppium - 滑动的截图:C:/Users/sunsheng/Desktop/YmtAPP/results/screenshots/0.ori.png
2017-05-27 10:09:58.869 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:09:58.870 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:09:59.091 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:09:59.091 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:09:59.142 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:10:00.215 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:10:00.216 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:10:00.442 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:10:00.442 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:10:01.094 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:10:02.178 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:10:02.178 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:10:02.608 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:10:02.608 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:10:02.655 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:10:03.699 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:10:03.699 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:10:04.059 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:10:04.059 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:10:04.087 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:10:05.190 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:10:05.190 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:10:05.538 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:10:05.538 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:10:05.558 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:10:06.616 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:10:06.617 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:10:06.833 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:10:06.833 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:10:06.881 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:10:07.928 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:10:07.928 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:10:08.127 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:10:08.127 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:10:08.186 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:10:09.246 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:10:09.246 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:10:09.511 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:10:09.511 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:10:10.163 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:10:11.259 [main] INFO  com.ymt.traveler.Traveler - next action is : SWIP_UP
2017-05-27 10:10:11.259 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:SWIP_UP
2017-05-27 10:10:11.904 [main] INFO  com.ymt.operation.OperateAppium -  .launcher.Launcher : SWIP_UP ,duration 100
2017-05-27 10:10:14.460 [main] INFO  com.ymt.operation.OperateAppium - 开始传输------
2017-05-27 10:10:14.934 [main] INFO  com.ymt.operation.OperateAppium - 传输本地完成------
2017-05-27 10:10:14.935 [main] INFO  com.ymt.operation.OperateAppium - 滑动的截图:C:/Users/sunsheng/Desktop/YmtAPP/results/screenshots/1.ori.png
2017-05-27 10:10:15.479 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:10:15.480 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:10:15.684 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:10:15.684 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:10:15.744 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:10:16.799 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:10:16.799 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:10:17.049 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:10:17.049 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:10:17.111 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:10:18.176 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:10:18.177 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:10:18.357 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:10:18.357 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:10:18.401 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:10:19.466 [main] INFO  com.ymt.traveler.Traveler - next action is : SWIP_LEFT
2017-05-27 10:10:19.467 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:SWIP_LEFT
